"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",4303,8,0.015625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"2",4321,2,0.03125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"3",123,0.5,0.125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"4",1234,0.25,0.0625,0.846153846153846,0.876923076923077,0.769230769230769,0.632455532033676,0.890625,0.823076923076923
"5",131,2,0.125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"6",689,8,0.015625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"7",320,0.5,0.0625,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"8",420,8,0.0078125,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"9",987,0.25,0.0625,0.846153846153846,0.876923076923077,0.769230769230769,0.632455532033676,0.890625,0.823076923076923
"10",150,2,0.015625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"11",489,2,0.015625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"12",143,1,0.125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"13",323,1,0.0625,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"14",550,1,0.03125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"15",740,1,0.03125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"16",430,4,0.0078125,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"17",303,2,0.03125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"18",456,1,0.0625,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"19",970,1,0.03125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"20",880,0.5,0.125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
