"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",143034,1,0.0625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"2",12345,0.5,0.03125,0.857142857142857,0.892307692307692,0.769230769230769,0.654224165908948,0.89922480620155,0.830769230769231
"3",4303,8,0.0078125,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"4",4321,2,0.03125,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"5",123,1,0.0625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"6",1234,64,0.00390625,0.879120879120879,0.892307692307692,0.846153846153846,0.715939607572292,0.913385826771654,0.869230769230769
"7",131,1,0.125,0.868131868131868,0.907692307692308,0.769230769230769,0.676923076923077,0.907692307692308,0.838461538461538
"8",320,1,0.03125,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"9",987,8,0.00390625,0.879120879120879,0.892307692307692,0.846153846153846,0.715939607572292,0.913385826771654,0.869230769230769
"10",150,1,0.0625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"11",489,4,0.03125,0.857142857142857,0.861538461538462,0.846153846153846,0.674576729098225,0.896,0.853846153846154
"12",143,1,0.0625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"13",323,1,0.125,0.868131868131868,0.907692307692308,0.769230769230769,0.676923076923077,0.907692307692308,0.838461538461538
"14",550,4,0.0625,0.846153846153846,0.861538461538462,0.807692307692308,0.643122505730478,0.888888888888889,0.834615384615385
"15",740,1,0.0625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"16",430,8,0.0078125,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"17",303,1,0.125,0.868131868131868,0.907692307692308,0.769230769230769,0.676923076923077,0.907692307692308,0.838461538461538
"18",456,2,0.0625,0.835164835164835,0.846153846153846,0.807692307692308,0.623250238840751,0.88,0.826923076923077
"19",970,32,0.0078125,0.857142857142857,0.861538461538462,0.846153846153846,0.674576729098225,0.896,0.853846153846154
"20",880,0.5,0.0625,0.857142857142857,0.892307692307692,0.769230769230769,0.654224165908948,0.89922480620155,0.830769230769231
