"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",4303,16,0.00390625,0.879120879120879,0.907692307692308,0.807692307692308,0.70747497011084,0.914728682170543,0.857692307692308
"2",4321,128,0.00390625,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"3",123,4,0.03125,0.879120879120879,0.907692307692308,0.807692307692308,0.70747497011084,0.914728682170543,0.857692307692308
"4",1234,64,0.0625,0.868131868131868,0.938461538461538,0.692307692307692,0.665545829862154,0.91044776119403,0.815384615384615
"5",131,0.25,0.03125,0.813186813186813,0.938461538461538,0.5,0.508199853030313,0.877697841726619,0.719230769230769
"6",689,128,0.00390625,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"7",320,8,0.015625,0.868131868131868,0.892307692307692,0.807692307692308,0.685160159703149,0.90625,0.85
"8",420,32,0.0078125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"9",987,1,0.03125,0.879120879120879,0.923076923076923,0.769230769230769,0.700649049745371,0.916030534351145,0.846153846153846
"10",150,1,0.0625,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"11",489,64,0.0078125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"12",143,16,0.00390625,0.879120879120879,0.907692307692308,0.807692307692308,0.70747497011084,0.914728682170543,0.857692307692308
"13",323,32,0.0078125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"14",550,32,0.00390625,0.857142857142857,0.892307692307692,0.769230769230769,0.654224165908948,0.89922480620155,0.830769230769231
"15",740,128,0.03125,0.857142857142857,0.892307692307692,0.769230769230769,0.654224165908948,0.89922480620155,0.830769230769231
"16",430,64,0.00390625,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
"17",303,4,0.0625,0.857142857142857,0.938461538461538,0.653846153846154,0.635085296108588,0.903703703703704,0.796153846153846
"18",456,8,0.0625,0.857142857142857,0.938461538461538,0.653846153846154,0.635085296108588,0.903703703703704,0.796153846153846
"19",970,8,0.0078125,0.857142857142857,0.892307692307692,0.769230769230769,0.654224165908948,0.89922480620155,0.830769230769231
"20",880,32,0.0078125,0.857142857142857,0.876923076923077,0.807692307692308,0.663735677853479,0.897637795275591,0.842307692307692
