"","Cp","MaxDepth","MinSplit","Acc","Sen","Spe","MCC","F1","AUC"
"1",0,1,1,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"2",0,1,2,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"3",0,1,3,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"4",0,1,4,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"5",0,1,5,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"6",0,1,6,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"7",0,1,7,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"8",0,1,8,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"9",0,1,9,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"10",0,1,10,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"11",0,1,11,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"12",0,1,12,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"13",0,1,13,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"14",0,1,14,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"15",0,1,15,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"16",0,1,16,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"17",0,1,17,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"18",0,1,18,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"19",0,1,19,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"20",0,1,20,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"21",0,1,21,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"22",0,1,22,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"23",0,1,23,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"24",0,1,24,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"25",0,1,25,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"26",0,1,26,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"27",0,1,27,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"28",0,1,28,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"29",0,1,29,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"30",0,1,30,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"31",0,1,31,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"32",0,1,32,0.791208791208791,0.738461538461539,0.923076923076923,0.600650054361837,0.834782608695652,0.830769230769231
"33",0,2,1,0.857142857142857,0.907692307692308,0.730769230769231,0.646154123654064,0.900763358778626,0.819230769230769
"34",0,2,2,0.857142857142857,0.907692307692308,0.730769230769231,0.646154123654064,0.900763358778626,0.819230769230769
"35",0,2,3,0.857142857142857,0.907692307692308,0.730769230769231,0.646154123654064,0.900763358778626,0.819230769230769
"36",0,2,4,0.857142857142857,0.907692307692308,0.730769230769231,0.646154123654064,0.900763358778626,0.819230769230769
"37",0,2,5,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"38",0,2,6,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"39",0,2,7,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"40",0,2,8,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"41",0,2,9,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"42",0,2,10,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"43",0,2,11,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"44",0,2,12,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"45",0,2,13,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"46",0,2,14,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"47",0,2,15,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"48",0,2,16,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
"49",0,2,17,0.846153846153846,0.907692307692308,0.692307692307692,0.615108290429599,0.893939393939394,0.8
